1,魔剤飲んでるけど全く効果がない,Mon May 20 04:04:14 +0000 2019
2,RT @wolpis_kater: YouTubeの収益化申請通った・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・やっとけーぽんにお賃金払える・・・・・・・・・・…,Mon May 20 03:58:58 +0000 2019
3,明日学校なのになんでカラオケいるの,Sun May 19 17:41:55 +0000 2019
4,1回授業サボっちゃたから全てのやる気が消滅してる,Fri May 17 06:24:45 +0000 2019
5,やる気が全くでない,Fri May 17 06:23:38 +0000 2019
6,"@irizon_klis いいっすねぇ
俺も多分行かないわ",Thu May 16 17:49:14 +0000 2019
7,@yntpass 期待してるわ笑,Thu May 16 17:42:17 +0000 2019
8,"@yntpass わろた笑
こんな時間まで起きてて大丈夫なのか？笑",Thu May 16 17:28:08 +0000 2019
9,@yntpass でもやなぎだ行かないでしょ？笑,Thu May 16 17:22:52 +0000 2019
10,"@yntpass 欠席になるで
でも俺まだ1回も休んでないし良いかなと…",Thu May 16 17:21:43 +0000 2019
11,あ〜 体育行くか迷うなぁ,Thu May 16 16:35:58 +0000 2019
12,体力測定めんどいので明日体育行かないかも,Thu May 16 16:02:52 +0000 2019
13,朝から受ける講義も悪くないよ(),Thu May 16 00:23:19 +0000 2019
14,まぁ人少ないほうが授業受けやすいので…,Thu May 16 00:22:06 +0000 2019
15,"まともな声優が小林裕介しかいないんですが…
 #賢者の孫",Wed May 15 18:10:57 +0000 2019
16,"EDで変な笑いをとろうとするな
 #賢者の孫",Wed May 15 18:10:25 +0000 2019
17,盾の勇者観たあとに賢者の孫観るとギャグアニメみてる気分になる,Wed May 15 17:49:15 +0000 2019
18,何故1限ある日の前日に限って寝れないのか,Tue May 14 20:25:07 +0000 2019
19,@fjord_I おめでと！,Thu May 09 02:32:43 +0000 2019
20,インドア系ならトラックメイカー好きすぎて無限に聴いてられる,Wed May 08 21:40:32 +0000 2019
21,行動論やっと終わった… 寝る！,Wed May 08 21:39:41 +0000 2019
22,今から行動論やるけど参考文献見て萎えた,Wed May 08 06:04:11 +0000 2019
23,@irizon_klis 紙だよ,Wed May 08 06:00:57 +0000 2019
24,@FroslassingPlus 天才すぎて泣いた,Wed May 08 05:54:47 +0000 2019
25,"@FroslassingPlus わろた
行動論の課題もう終わったの？",Wed May 08 05:49:55 +0000 2019
26,@FroslassingPlus 今日も行ったの？,Wed May 08 05:47:40 +0000 2019
27,@irizon_klis ふーん、やるじゃん,Tue May 07 11:49:57 +0000 2019
28,@irizon_klis 遠すぎワロタ,Tue May 07 11:47:13 +0000 2019
29,@irizon_klis どこ？,Tue May 07 11:12:06 +0000 2019
30,公務員になるにはklisは割と良さそうなのでまぁ結果オーライ,Tue May 07 10:26:23 +0000 2019
31,公務員講座のテスト最高点でしたわ,Tue May 07 10:26:08 +0000 2019
32,@FroslassingPlus あーい😎,Tue May 07 10:10:01 +0000 2019
33,@FroslassingPlus しょうがねぇなぁ,Tue May 07 10:06:02 +0000 2019
34,@FroslassingPlus あと1時間、耐えてくれ…！,Tue May 07 10:00:36 +0000 2019
35,傘さし自転車は追突して分からせるしかない,Tue May 07 04:59:06 +0000 2019
36,平成最後の龍郎ですわ https://t.co/dpLaJCecKP,Fri Apr 26 09:24:33 +0000 2019
37,@irizon_klis あるぞ(持ち込み不可),Fri Apr 26 07:30:07 +0000 2019
38,@FroslassingPlus やなぎだくんが行きたがってるので行きましょう,Thu Apr 25 04:42:45 +0000 2019
39,@FroslassingPlus 夜龍郎行かない？？,Thu Apr 25 04:35:34 +0000 2019
40,今日15分遅いやつじゃん,Thu Apr 25 03:21:11 +0000 2019
41,DBか探索論切るか今更迷ってきた,Wed Apr 24 13:48:42 +0000 2019
42,@_ATEBOI_ やったぜ,Wed Apr 24 03:19:23 +0000 2019
43,@_ATEBOI_ 君のラップを皆に聞かせたかったよ,Wed Apr 24 03:11:21 +0000 2019
44,松美池にきたらこじょー君がラップしてくれますよ、楽しい(写真ブレブレ) https://t.co/cNJP2BJkYo,Tue Apr 23 13:47:29 +0000 2019
45,ワイヤレスイヤホンが有能すぎる…,Tue Apr 23 04:23:30 +0000 2019
46,"モンスターの新作まぁまぁ美味い
けどちょっと微妙だな",Tue Apr 23 04:02:30 +0000 2019
47,"(⌒,_ゝ⌒)",Mon Apr 22 08:19:50 +0000 2019
48,俺の生きる道の曲良いな〜,Fri Apr 19 09:29:18 +0000 2019
49,イヤホンしてるから先生の声が聞こえない、写真はとってる,Thu Apr 18 08:19:55 +0000 2019
50,@yntpass 選択式っぽいからそれでも大丈夫笑,Thu Apr 18 06:44:04 +0000 2019
51,@yntpass でるよ、カンペに似顔絵書かないといけない…,Thu Apr 18 06:42:16 +0000 2019
52,逆に授業に集中できないわ,Thu Apr 18 06:41:28 +0000 2019
53,ひたすら写真とるの不毛すぎる,Thu Apr 18 06:40:53 +0000 2019
54,どうせ写真とるんだからパワポくださいよ,Thu Apr 18 04:25:34 +0000 2019
55,英語も映像メディアも買わなきゃだし…,Thu Apr 18 04:22:13 +0000 2019
56,本めっちゃ買わされるの辛いねぇ,Thu Apr 18 04:21:47 +0000 2019
57,問題多すぎやろ…,Tue Apr 16 12:19:57 +0000 2019
58,公務員試験の過去問で頭爆発した,Tue Apr 16 12:19:46 +0000 2019
59,なんでこんな人多いの,Tue Apr 16 06:09:06 +0000 2019
60,KA→サイベックス→スマブラ の最強ムーブ超絶楽しかった,Fri Apr 12 20:56:25 +0000 2019
61,@FroslassingPlus 笑えないネタをだすんじゃねぇ……,Fri Apr 12 10:56:25 +0000 2019
62,@FroslassingPlus ほんdoがはよ来いってブチギレてるぞ,Fri Apr 12 10:52:43 +0000 2019
63,スタバの新作よりも魔剤の新作が飲みたい、切実に,Fri Apr 12 05:51:09 +0000 2019
64,プレゼンだけ露骨に人気ないの草生えますわ,Fri Apr 12 05:27:34 +0000 2019
65,そうすると春cの金曜が全休になるから逆にアドかも,Fri Apr 12 05:26:08 +0000 2019
66,専門英語Aを水曜4限にいれて、3限にtestingかな…,Fri Apr 12 05:25:07 +0000 2019
67,英語落ちててガチで萎えてる,Fri Apr 12 05:17:43 +0000 2019
68,@yntpass ワンチャン抽選落ちてんのか俺…,Thu Apr 11 11:37:20 +0000 2019
69,@yntpass え、どんな画面になってる？,Thu Apr 11 11:34:45 +0000 2019
70,@fjord_ITF おぉーマジか知らなかったわサンガツ,Thu Apr 11 10:40:01 +0000 2019
71,まぁ最悪取れなかったら秋に2つ取ればいい話か,Thu Apr 11 10:23:16 +0000 2019
72,14時って授業の後じゃん…,Thu Apr 11 10:23:06 +0000 2019
73,あれ、専門英語基礎演習…？ https://t.co/PczT0l7nvn,Thu Apr 11 10:19:52 +0000 2019
74,@irizon_klis 天才すぎて言葉がでねぇよ…,Thu Apr 11 03:12:07 +0000 2019
